# start_time	end_time	label
0:00:00	0:00:05	fire
0:00:06.913000	0:00:11.913000	fireworks
0:00:13.577000	0:00:18.577000	chainsaw
0:00:20.596000	0:00:25.596000	fireworks
0:00:27.450000	0:00:32.450000	fire
0:00:34.876000	0:00:39.528000	gunshot
0:00:40.949000	0:00:45.949000	gunshot
0:00:48.173000	0:00:52.514000	gunshot
0:00:55.220000	0:00:59.473000	gunshot
0:01:02.301000	0:01:07.301000	chainsaw
0:01:08.865000	0:01:13.865000	fire
0:01:15.898000	0:01:20.898000	chainsaw
0:01:23.100000	0:01:28.100000	gunshot
0:01:29.991000	0:01:34.991000	fireworks
0:01:36.819000	0:01:41.777000	gunshot
0:01:43.575000	0:01:48.575000	fireworks
0:01:50.898000	0:01:55.585000	gunshot
0:01:57.282000	0:02:02.282000	chainsaw
0:02:04.232000	0:02:09.232000	chainsaw
0:02:10.475000	0:02:15.475000	fire
0:02:16.951000	0:02:21.951000	chainsaw
0:02:23.447000	0:02:28.447000	fire
0:02:31.282000	0:02:36.282000	fireworks
0:02:37.536000	0:02:42.536000	fireworks
0:02:45.167000	0:02:50.005000	gunshot
0:02:52.382000	0:02:57.382000	fire
0:02:58.933000	0:03:03.907000	gunshot
0:03:06.018000	0:03:11.018000	chainsaw
0:03:13.814000	0:03:18.814000	fireworks
0:03:20.101000	0:03:25.101000	fireworks
0:03:27.430000	0:03:32.430000	fireworks
0:03:33.831000	0:03:38.831000	chainsaw
0:03:40.068000	0:03:45.068000	fire
0:03:46.626000	0:03:51.626000	chainsaw
0:03:54.048000	0:03:59.048000	fire
0:04:01.096000	0:04:06.096000	fireworks
0:04:08.697000	0:04:13.697000	fire
0:04:16.033000	0:04:21.033000	chainsaw
0:04:22.896000	0:04:27.436000	gunshot
0:04:29.176000	0:04:34.176000	fire
