# start_time	end_time	label
0:00:00	0:00:05	fireworks
0:00:06.118000	0:00:11.118000	gunshot
0:00:12.812000	0:00:17.812000	gunshot
0:00:20.789000	0:00:25.789000	fire
0:00:28.567000	0:00:33.567000	fire
0:00:35.234000	0:00:40.234000	chainsaw
0:00:43.220000	0:00:48.220000	fireworks
0:00:49.725000	0:00:54.725000	fire
0:00:56.767000	0:01:01.767000	chainsaw
0:01:04.647000	0:01:09.647000	fireworks
0:01:12.451000	0:01:17.451000	fire
0:01:19.753000	0:01:24.753000	gunshot
0:01:27.261000	0:01:32.261000	fire
0:01:34.342000	0:01:39.342000	chainsaw
0:01:40.777000	0:01:45.777000	fireworks
0:01:46.998000	0:01:51.998000	fireworks
0:01:54.270000	0:01:59.270000	fireworks
0:02:01.267000	0:02:06.267000	fireworks
0:02:07.394000	0:02:12.394000	fire
0:02:14.639000	0:02:19.639000	fireworks
0:02:21.047000	0:02:26.047000	chainsaw
0:02:27.994000	0:02:32.994000	fire
0:02:34.550000	0:02:39.550000	chainsaw
0:02:40.994000	0:02:45.994000	gunshot
0:02:48.703000	0:02:53.703000	fire
0:02:54.966000	0:02:59.966000	gunshot
0:03:01.886000	0:03:06.886000	gunshot
0:03:09.279000	0:03:14.279000	chainsaw
0:03:16.969000	0:03:21.969000	gunshot
0:03:23.595000	0:03:28.595000	chainsaw
0:03:30.206000	0:03:35.206000	fireworks
0:03:36.817000	0:03:41.817000	fire
0:03:43.561000	0:03:48.561000	fire
0:03:50.486000	0:03:55.486000	chainsaw
0:03:57.903000	0:04:02.903000	gunshot
0:04:04.101000	0:04:09.101000	chainsaw
0:04:11.504000	0:04:16.504000	chainsaw
0:04:18.191000	0:04:23.191000	fireworks
0:04:25.961000	0:04:30.961000	gunshot
0:04:32.176000	0:04:37.176000	gunshot
