Index	Label/Class
==============================
1	birds
2	birds
3	birds
4	birds
5	birds
6	birds
7	birds
8	birds
9	birds
10	birds
11	birds
12	birds
13	birds
14	birds
15	birds
16	birds
17	birds
18	birds
19	birds
20	birds
21	chainsaw
22	chainsaw
23	chainsaw
24	chainsaw
25	chainsaw
26	chainsaw
27	chainsaw
28	chainsaw
29	chainsaw
30	chainsaw
31	chainsaw
32	chainsaw
33	chainsaw
34	chainsaw
35	chainsaw
36	chainsaw
37	chainsaw
38	chainsaw
39	chainsaw
40	chainsaw
41	fire
42	fire
43	fire
44	fire
45	fire
46	fire
47	fire
48	fire
49	fire
50	fire
51	fire
52	fire
53	fire
54	fire
55	fire
56	fire
57	fire
58	fire
59	fire
60	fire
61	handsaw
62	handsaw
63	handsaw
64	handsaw
65	handsaw
66	handsaw
67	handsaw
68	handsaw
69	handsaw
70	handsaw
71	handsaw
72	handsaw
73	handsaw
74	handsaw
75	handsaw
76	handsaw
77	handsaw
78	handsaw
79	handsaw
80	handsaw
81	helicopter
82	helicopter
83	helicopter
84	helicopter
85	helicopter
86	helicopter
87	helicopter
88	helicopter
89	helicopter
90	helicopter
91	helicopter
92	helicopter
93	helicopter
94	helicopter
95	helicopter
96	helicopter
97	helicopter
98	helicopter
99	helicopter
100	helicopter
