Index	Label/Class
==============================
1	birds
1	birds - ERROR: Error querying device -1
2	birds
2	birds - ERROR: Error querying device -1
3	birds
3	birds - ERROR: Error querying device -1
4	birds
4	birds - ERROR: Error querying device -1
5	birds
5	birds - ERROR: Error querying device -1
6	birds
6	birds - ERROR: Error querying device -1
7	birds
7	birds - ERROR: Error querying device -1
8	birds
8	birds - ERROR: Error querying device -1
9	birds
9	birds - ERROR: Error querying device -1
10	birds
10	birds - ERROR: Error querying device -1
11	birds
11	birds - ERROR: Error querying device -1
12	birds
12	birds - ERROR: Error querying device -1
13	birds
13	birds - ERROR: Error querying device -1
14	birds
14	birds - ERROR: Error querying device -1
15	birds
15	birds - ERROR: Error querying device -1
16	birds
16	birds - ERROR: Error querying device -1
17	birds
17	birds - ERROR: Error querying device -1
18	birds
18	birds - ERROR: Error querying device -1
19	birds
19	birds - ERROR: Error querying device -1
20	birds
20	birds - ERROR: Error querying device -1
21	chainsaw
21	chainsaw - ERROR: Error querying device -1
22	chainsaw
22	chainsaw - ERROR: Error querying device -1
23	chainsaw
23	chainsaw - ERROR: Error querying device -1
24	chainsaw
24	chainsaw - ERROR: Error querying device -1
25	chainsaw
25	chainsaw - ERROR: Error querying device -1
26	chainsaw
26	chainsaw - ERROR: Error querying device -1
27	chainsaw
27	chainsaw - ERROR: Error querying device -1
28	chainsaw
28	chainsaw - ERROR: Error querying device -1
29	chainsaw
29	chainsaw - ERROR: Error querying device -1
30	chainsaw
30	chainsaw - ERROR: Error querying device -1
31	chainsaw
31	chainsaw - ERROR: Error querying device -1
32	chainsaw
32	chainsaw - ERROR: Error querying device -1
33	chainsaw
33	chainsaw - ERROR: Error querying device -1
34	chainsaw
34	chainsaw - ERROR: Error querying device -1
35	chainsaw
35	chainsaw - ERROR: Error querying device -1
36	chainsaw
36	chainsaw - ERROR: Error querying device -1
37	chainsaw
37	chainsaw - ERROR: Error querying device -1
38	chainsaw
38	chainsaw - ERROR: Error querying device -1
39	chainsaw
39	chainsaw - ERROR: Error querying device -1
40	chainsaw
40	chainsaw - ERROR: Error querying device -1
41	fire
41	fire - ERROR: Error querying device -1
42	fire
42	fire - ERROR: Error querying device -1
43	fire
43	fire - ERROR: Error querying device -1
44	fire
44	fire - ERROR: Error querying device -1
45	fire
45	fire - ERROR: Error querying device -1
46	fire
46	fire - ERROR: Error querying device -1
47	fire
47	fire - ERROR: Error querying device -1
48	fire
48	fire - ERROR: Error querying device -1
49	fire
49	fire - ERROR: Error querying device -1
50	fire
50	fire - ERROR: Error querying device -1
51	fire
51	fire - ERROR: Error querying device -1
52	fire
52	fire - ERROR: Error querying device -1
53	fire
53	fire - ERROR: Error querying device -1
54	fire
54	fire - ERROR: Error querying device -1
55	fire
55	fire - ERROR: Error querying device -1
56	fire
56	fire - ERROR: Error querying device -1
57	fire
57	fire - ERROR: Error querying device -1
58	fire
58	fire - ERROR: Error querying device -1
59	fire
59	fire - ERROR: Error querying device -1
60	fire
60	fire - ERROR: Error querying device -1
61	handsaw
61	handsaw - ERROR: Error querying device -1
62	handsaw
62	handsaw - ERROR: Error querying device -1
63	handsaw
63	handsaw - ERROR: Error querying device -1
64	handsaw
64	handsaw - ERROR: Error querying device -1
65	handsaw
65	handsaw - ERROR: Error querying device -1
66	handsaw
66	handsaw - ERROR: Error querying device -1
67	handsaw
67	handsaw - ERROR: Error querying device -1
68	handsaw
68	handsaw - ERROR: Error querying device -1
69	handsaw
69	handsaw - ERROR: Error querying device -1
70	handsaw
70	handsaw - ERROR: Error querying device -1
71	handsaw
71	handsaw - ERROR: Error querying device -1
72	handsaw
72	handsaw - ERROR: Error querying device -1
73	handsaw
73	handsaw - ERROR: Error querying device -1
74	handsaw
74	handsaw - ERROR: Error querying device -1
75	handsaw
75	handsaw - ERROR: Error querying device -1
76	handsaw
76	handsaw - ERROR: Error querying device -1
77	handsaw
77	handsaw - ERROR: Error querying device -1
78	handsaw
78	handsaw - ERROR: Error querying device -1
79	handsaw
79	handsaw - ERROR: Error querying device -1
80	handsaw
80	handsaw - ERROR: Error querying device -1
81	helicopter
81	helicopter - ERROR: Error querying device -1
82	helicopter
82	helicopter - ERROR: Error querying device -1
83	helicopter
83	helicopter - ERROR: Error querying device -1
84	helicopter
84	helicopter - ERROR: Error querying device -1
85	helicopter
85	helicopter - ERROR: Error querying device -1
86	helicopter
86	helicopter - ERROR: Error querying device -1
87	helicopter
87	helicopter - ERROR: Error querying device -1
88	helicopter
88	helicopter - ERROR: Error querying device -1
89	helicopter
89	helicopter - ERROR: Error querying device -1
90	helicopter
90	helicopter - ERROR: Error querying device -1
91	helicopter
91	helicopter - ERROR: Error querying device -1
92	helicopter
92	helicopter - ERROR: Error querying device -1
93	helicopter
93	helicopter - ERROR: Error querying device -1
94	helicopter
94	helicopter - ERROR: Error querying device -1
95	helicopter
95	helicopter - ERROR: Error querying device -1
96	helicopter
96	helicopter - ERROR: Error querying device -1
97	helicopter
97	helicopter - ERROR: Error querying device -1
98	helicopter
98	helicopter - ERROR: Error querying device -1
99	helicopter
99	helicopter - ERROR: Error querying device -1
100	helicopter
100	helicopter - ERROR: Error querying device -1
