# start_time	end_time	label
0:00:00	0:00:05	chainsaw_2
0:00:06.929000	0:00:11.929000	fire_2
0:00:14.075000	0:00:19.075000	fireworks_2
0:00:21.894000	0:00:26.894000	fire_2
0:00:28.256000	0:00:33.256000	chainsaw_2
0:00:36.040000	0:00:41.040000	gunshot_2
0:00:42.266000	0:00:47.266000	fire_2
0:00:50.153000	0:00:55.153000	gunshot_2
0:00:57.793000	0:01:02.793000	chainsaw_2
0:01:04.593000	0:01:09.593000	chainsaw_2
0:01:11.900000	0:01:16.900000	fire_2
0:01:19.621000	0:01:24.621000	gunshot_2
0:01:25.946000	0:01:30.946000	gunshot_2
0:01:32.674000	0:01:37.674000	gunshot_2
0:01:40.352000	0:01:45.352000	fireworks_2
0:01:47.002000	0:01:52.002000	chainsaw_2
0:01:53.440000	0:01:58.440000	fireworks_2
0:02:01.054000	0:02:06.054000	chainsaw_2
0:02:07.214000	0:02:12.214000	fireworks_2
0:02:14.145000	0:02:19.145000	gunshot_2
0:02:20.528000	0:02:25.528000	chainsaw_2
0:02:27.018000	0:02:32.018000	fire_2
0:02:33.505000	0:02:38.505000	chainsaw_2
0:02:40.350000	0:02:45.350000	fire_2
0:02:46.815000	0:02:51.815000	fire_2
0:02:54.731000	0:02:59.731000	fireworks_2
0:03:02.098000	0:03:07.098000	gunshot_2
0:03:08.728000	0:03:13.728000	chainsaw_2
0:03:15.036000	0:03:20.036000	gunshot_2
0:03:22.118000	0:03:27.118000	fireworks_2
0:03:28.860000	0:03:33.860000	fire_2
0:03:36.051000	0:03:41.051000	fireworks_2
0:03:43.229000	0:03:48.229000	fireworks_2
0:03:50.868000	0:03:55.868000	fire_2
0:03:58.203000	0:04:03.203000	gunshot_2
0:04:04.453000	0:04:09.453000	gunshot_2
0:04:12.340000	0:04:17.340000	chainsaw_2
0:04:19.441000	0:04:24.441000	fireworks_2
0:04:27.429000	0:04:32.429000	fireworks_2
0:04:33.987000	0:04:38.987000	fire_2
